style,query,rank,article_id,prod_name,colour,type,appearance
professional,a professional shirt for a client meeting,1,0618319002,Mister Muscle LS,White,Shirt,Solid
professional,a professional shirt for a client meeting,2,0567418039,MAXENCE TEE,Dark Grey,T-shirt,Placement print
professional,a professional shirt for a client meeting,3,0789407002,Sagat Slim Blazer,Black,Blazer,Check
professional,a professional dress for a conference,1,0882454002,Hazel dress,Black,Dress,Solid
professional,a professional dress for a conference,2,0578430004,Beetle dress,Grey,Dress,Melange
professional,a professional dress for a conference,3,0694182001,Han sleeve,Black,Dress,Solid
bold,a bold statement top for a party,1,0594618001,Bruce Lee PRICE,Red,Blouse,Solid
bold,a bold statement top for a party,2,0683573001,Mrs West Top,Black,Vest top,Application/3D
bold,a bold statement top for a party,3,0797608002,SC VOODOO blouse,Black,Shirt,All over pattern
bold,something bold for a night out,1,0796240001,FF Kate dress PI,Yellowish Brown,Dress,All over pattern
bold,something bold for a night out,2,0775085001,Cool Jacobs Earring pack,Gold,Earring,Solid
bold,something bold for a night out,3,0577675001,Willa,Black,Vest top,Solid
bold,a bold dress that stands out,1,0891629001,Fuego dress,Orange,Dress,All over pattern
bold,a bold dress that stands out,2,0467302079,Panda dress J,Dark Blue,Dress,Solid
bold,a bold dress that stands out,3,0637283010,Teddy (1),Dark Green,Dress,Stripe
bold,a bold jacket to draw attention,1,0719608001,DIV Lauren velvet blazer,Black,Blazer,Solid
bold,a bold jacket to draw attention,2,0763544001,DIV Loris Denim Jacket,Red,Jacket,Solid
bold,a bold jacket to draw attention,3,0740791001,Raven blazer,Light Grey,Blazer,Check
bold,a bold outfit piece for a festival,1,0761140001,FESTIVAL Tee,White,T-shirt,All over pattern
bold,a bold outfit piece for a festival,2,0630116010,SUPREME TIGHTS,Dark Blue,Leggings/Tights,Colour blocking
